,location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
4815,Alhambra,St. Louis,US,o3,0.029,2020-05-20 04:00:00+00:00,ppm,AirNow,38.869,-89.6228,1.0
4816,WEST ALTON,St. Louis,US,o3,0.025,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8725,-90.22639,1.0
4817,King Greenleaf Rec C,WASHINGTON,US,pm25,4.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.87516,-77.01282,1.0
4818,Ohio Drive,Washington-Arlington-Alexandria,US,pm25,18.0,2017-07-11 10:00:00+00:00,µg/m³,AirNow,38.87605,-77.03313,1.0
4819,Paonia,DELTA,US,no2,0.001,2020-05-19 21:00:00+00:00,ppm,AirNow,38.8763,-107.6022,1.0
4820,Paonia,DELTA,US,o3,0.054,2020-05-19 21:00:00+00:00,ppm,AirNow,38.8763,-107.6022,1.0
4821,Paonia,DELTA,US,pm10,10.0,2020-05-19 22:00:00+00:00,µg/m³,AirNow,38.8763,-107.6022,1.0
4822,Paonia,DELTA,US,pm25,4.5,2020-05-19 22:00:00+00:00,µg/m³,AirNow,38.8763,-107.6022,1.0
4823,Cedar Creek,GILMER,US,o3,0.04,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8795,-80.8477,1.0
4824,Lincoln,Sacramento--Arden-Arcade--Roseville,US,o3,0.03,2020-05-20 04:00:00+00:00,ppm,AirNow,38.89,-121.3,1.0
4825,Lincoln,Sacramento--Arden-Arcade--Roseville,US,pm25,5.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.89,-121.3,1.0
4826,ALTON,St. Louis,US,o3,0.02,2019-11-06 15:00:00+00:00,ppm,AirNow,38.8903,-90.1481,1.0
4827,Cool (Seasonal),Sacramento--Arden-Arcade--Roseville,US,o3,0.02,2020-05-20 04:00:00+00:00,ppm,AirNow,38.89094,-121.00337,1.0
4828,DCNearRoad,Washington-Arlington-Alexandria,US,co,0.48,2020-05-20 04:00:00+00:00,ppm,AirNow,38.89475,-76.95343,1.0
4829,DCNearRoad,Washington-Arlington-Alexandria,US,no2,0.002,2020-05-20 04:00:00+00:00,ppm,AirNow,38.89475,-76.95343,1.0
